antecedent,consequent,support,confidence,lift 
"['48', '28']","['36', '39']",0.08,0.31,1.07
"['48', '39']","['36', '28']",0.08,0.34,1.07
"['39', '28']","['48', '36']",0.08,0.37,1.09
"['48', '36', '28']",['39'],0.08,0.48,1.06
"['48', '36', '39']",['28'],0.08,0.53,1.08
"['36', '39', '28']",['48'],0.08,0.54,1.02
"['48', '39', '28']",['36'],0.08,0.66,1.05
['38'],"['48', '36', '39', '28']",0.07,0.09,1.11
['36'],"['48', '38', '39', '28']",0.07,0.11,1.06
['48'],"['38', '36', '39', '28']",0.07,0.13,1.07
['28'],"['48', '38', '36', '39']",0.07,0.15,1.11
['39'],"['48', '38', '36', '28']",0.07,0.16,1.07
"['38', '36']","['48', '39', '28']",0.07,0.15,1.13
"['48', '38']","['36', '39', '28']",0.07,0.17,1.1
"['38', '28']","['48', '36', '39']",0.07,0.19,1.17
"['38', '39']","['48', '36', '28']",0.07,0.2,1.14
"['48', '36']","['38', '39', '28']",0.07,0.21,1.15
"['36', '28']","['48', '38', '39']",0.07,0.22,1.12
"['36', '39']","['48', '38', '28']",0.07,0.24,1.1
"['48', '28']","['38', '36', '39']",0.07,0.26,1.13
"['48', '39']","['38', '36', '28']",0.07,0.29,1.15
"['39', '28']","['48', '38', '36']",0.07,0.31,1.15
"['48', '38', '36']","['39', '28']",0.07,0.27,1.15
"['38', '36', '28']","['48', '39']",0.07,0.28,1.15
"['38', '36', '39']","['48', '28']",0.07,0.3,1.13
"['48', '38', '28']","['36', '39']",0.07,0.32,1.1
"['48', '38', '39']","['36', '28']",0.07,0.36,1.12
"['38', '39', '28']","['48', '36']",0.07,0.39,1.15
"['48', '36', '28']","['38', '39']",0.07,0.4,1.14
"['48', '36', '39']","['38', '28']",0.07,0.44,1.17
"['36', '39', '28']","['48', '38']",0.07,0.45,1.1
"['48', '39', '28']","['38', '36']",0.07,0.55,1.13
"['48', '38', '36', '28']",['39'],0.07,0.48,1.07
"['48', '38', '36', '39']",['28'],0.07,0.54,1.11
"['38', '36', '39', '28']",['48'],0.07,0.57,1.07
"['48', '38', '39', '28']",['36'],0.07,0.67,1.06
"['48', '36', '39', '28']",['38'],0.07,0.84,1.11
['3'],['39'],0.22,0.46,1.01
['39'],['3'],0.22,0.49,1.01
['38'],"['39', '3']",0.18,0.23,1.06
['3'],"['38', '39']",0.18,0.36,1.04
['39'],"['38', '3']",0.18,0.39,1.04
"['38', '3']",['39'],0.18,0.47,1.04
"['38', '39']",['3'],0.18,0.5,1.04
"['39', '3']",['38'],0.18,0.8,1.06
['36'],"['39', '3']",0.15,0.23,1.04
['3'],"['36', '39']",0.15,0.3,1.02
['39'],"['36', '3']",0.15,0.32,1.02
"['36', '3']",['39'],0.15,0.46,1.02
"['36', '39']",['3'],0.15,0.49,1.02
"['39', '3']",['36'],0.15,0.65,1.04
['38'],"['36', '39', '3']",0.12,0.16,1.09
['36'],"['38', '39', '3']",0.12,0.19,1.08
['3'],"['38', '36', '39']",0.12,0.25,1.05
['39'],"['38', '36', '3']",0.12,0.26,1.07
"['38', '36']","['39', '3']",0.12,0.25,1.11
"['38', '3']","['36', '39']",0.12,0.32,1.09
"['38', '39']","['36', '3']",0.12,0.34,1.09
"['36', '3']","['38', '39']",0.12,0.38,1.09
"['36', '39']","['38', '3']",0.12,0.41,1.09
"['39', '3']","['38', '36']",0.12,0.54,1.11
"['38', '36', '3']",['39'],0.12,0.48,1.07
"['38', '36', '39']",['3'],0.12,0.51,1.05
"['38', '39', '3']",['36'],0.12,0.68,1.08
"['36', '39', '3']",['38'],0.12,0.83,1.09
['11'],"['39', '3']",0.13,0.26,1.15
['3'],"['11', '39']",0.13,0.27,1.09
['39'],"['11', '3']",0.13,0.29,1.07
"['11', '3']",['39'],0.13,0.49,1.07
"['11', '39']",['3'],0.13,0.53,1.09
"['39', '3']",['11'],0.13,0.6,1.15
['38'],"['11', '39', '3']",0.11,0.14,1.07
['11'],"['38', '39', '3']",0.11,0.21,1.17
['3'],"['11', '38', '39']",0.11,0.22,1.12
['39'],"['11', '38', '3']",0.11,0.24,1.09
"['11', '38']","['39', '3']",0.11,0.26,1.19
"['38', '3']","['11', '39']",0.11,0.29,1.14
"['38', '39']","['11', '3']",0.11,0.31,1.12
"['11', '3']","['38', '39']",0.11,0.39,1.12
"['11', '39']","['38', '3']",0.11,0.43,1.14
"['39', '3']","['11', '38']",0.11,0.49,1.19
"['11', '38', '3']",['39'],0.11,0.49,1.09
"['11', '38', '39']",['3'],0.11,0.54,1.12
"['38', '39', '3']",['11'],0.11,0.61,1.17
"['11', '39', '3']",['38'],0.11,0.81,1.07
['36'],"['11', '39', '3']",0.09,0.14,1.09
['11'],"['36', '39', '3']",0.09,0.17,1.2
['3'],"['11', '36', '39']",0.09,0.19,1.11
['39'],"['11', '36', '3']",0.09,0.2,1.1
"['11', '36']","['39', '3']",0.09,0.27,1.2
"['36', '3']","['11', '39']",0.09,0.29,1.16
"['36', '39']","['11', '3']",0.09,0.31,1.13
"['11', '3']","['36', '39']",0.09,0.33,1.13
"['11', '39']","['36', '3']",0.09,0.36,1.16
"['39', '3']","['11', '36']",0.09,0.41,1.2
"['11', '36', '3']",['39'],0.09,0.5,1.1
"['11', '36', '39']",['3'],0.09,0.54,1.11
"['36', '39', '3']",['11'],0.09,0.63,1.2
"['11', '39', '3']",['36'],0.09,0.68,1.09
['38'],"['11', '36', '39', '3']",0.07,0.1,1.08
['36'],"['11', '38', '39', '3']",0.07,0.12,1.09
['11'],"['38', '36', '39', '3']",0.07,0.14,1.19
['3'],"['11', '38', '36', '39']",0.07,0.15,1.13
['39'],"['11', '38', '36', '3']",0.07,0.16,1.11
"['38', '36']","['11', '39', '3']",0.07,0.15,1.15
"['11', '38']","['36', '39', '3']",0.07,0.18,1.26
"['38', '3']","['11', '36', '39']",0.07,0.2,1.17
"['38', '39']","['11', '36', '3']",0.07,0.21,1.15
"['11', '36']","['38', '39', '3']",0.07,0.22,1.22
"['36', '3']","['11', '38', '39']",0.07,0.24,1.19
"['36', '39']","['11', '38', '3']",0.07,0.25,1.16
"['11', '3']","['38', '36', '39']",0.07,0.27,1.16
"['11', '39']","['38', '36', '3']",0.07,0.29,1.19
"['39', '3']","['11', '38', '36']",0.07,0.33,1.24
"['11', '38', '36']","['39', '3']",0.07,0.28,1.24
"['38', '36', '3']","['11', '39']",0.07,0.3,1.19
"['38', '36', '39']","['11', '3']",0.07,0.32,1.16
"['11', '38', '3']","['36', '39']",0.07,0.34,1.16
"['11', '38', '39']","['36', '3']",0.07,0.37,1.19
"['38', '39', '3']","['11', '36']",0.07,0.42,1.22
"['11', '36', '3']","['38', '39']",0.07,0.41,1.15
"['11', '36', '39']","['38', '3']",0.07,0.44,1.17
"['36', '39', '3']","['11', '38']",0.07,0.51,1.26
"['11', '39', '3']","['38', '36']",0.07,0.56,1.15
"['11', '38', '36', '3']",['39'],0.07,0.5,1.11
"['11', '38', '36', '39']",['3'],0.07,0.55,1.13
"['38', '36', '39', '3']",['11'],0.07,0.62,1.19
"['11', '38', '39', '3']",['36'],0.07,0.69,1.09
"['11', '36', '39', '3']",['38'],0.07,0.82,1.08
['48'],"['11', '39', '3']",0.07,0.14,1.05
['11'],"['48', '39', '3']",0.07,0.14,1.16
['3'],"['48', '11', '39']",0.07,0.15,1.06
['39'],"['48', '11', '3']",0.07,0.16,1.05
"['48', '11']","['39', '3']",0.07,0.26,1.15
"['48', '3']","['11', '39']",0.07,0.28,1.11
"['48', '39']","['11', '3']",0.07,0.3,1.09
"['11', '3']","['48', '39']",0.07,0.27,1.09
"['11', '39']","['48', '3']",0.07,0.29,1.11
"['39', '3']","['48', '11']",0.07,0.33,1.15
"['48', '11', '3']",['39'],0.07,0.48,1.05
"['48', '11', '39']",['3'],0.07,0.51,1.06
"['48', '39', '3']",['11'],0.07,0.6,1.16
"['11', '39', '3']",['48'],0.07,0.56,1.05
['36'],"['48', '11', '39', '3']",0.05,0.08,1.1
['48'],"['11', '36', '39', '3']",0.05,0.1,1.06
['11'],"['48', '36', '39', '3']",0.05,0.1,1.23
['3'],"['48', '11', '36', '39']",0.05,0.11,1.08
['39'],"['48', '11', '36', '3']",0.05,0.11,1.06
"['48', '36']","['11', '39', '3']",0.05,0.15,1.14
"['11', '36']","['48', '39', '3']",0.05,0.15,1.22
"['36', '3']","['48', '11', '39']",0.05,0.16,1.13
"['36', '39']","['48', '11', '3']",0.05,0.17,1.12
"['48', '11']","['36', '39', '3']",0.05,0.18,1.22
"['48', '3']","['11', '36', '39']",0.05,0.19,1.14
"['48', '39']","['11', '36', '3']",0.05,0.21,1.12
"['11', '3']","['48', '36', '39']",0.05,0.19,1.16
"['11', '39']","['48', '36', '3']",0.05,0.2,1.17
"['39', '3']","['48', '11', '36']",0.05,0.23,1.2
"['48', '11', '36']","['39', '3']",0.05,0.27,1.2
"['48', '36', '3']","['11', '39']",0.05,0.29,1.17
"['48', '36', '39']","['11', '3']",0.05,0.32,1.16
"['11', '36', '3']","['48', '39']",0.05,0.28,1.12
"['11', '36', '39']","['48', '3']",0.05,0.3,1.14
"['36', '39', '3']","['48', '11']",0.05,0.35,1.22
"['48', '11', '3']","['36', '39']",0.05,0.33,1.12
"['48', '11', '39']","['36', '3']",0.05,0.35,1.13
"['48', '39', '3']","['11', '36']",0.05,0.42,1.22
"['11', '39', '3']","['48', '36']",0.05,0.38,1.14
"['48', '11', '36', '3']",['39'],0.05,0.48,1.06
"['48', '11', '36', '39']",['3'],0.05,0.53,1.08
"['48', '36', '39', '3']",['11'],0.05,0.64,1.23
"['11', '36', '39', '3']",['48'],0.05,0.56,1.06
"['48', '11', '39', '3']",['36'],0.05,0.69,1.1
['38'],"['48', '11', '39', '3']",0.06,0.08,1.07
['48'],"['11', '38', '39', '3']",0.06,0.11,1.05
['11'],"['48', '38', '39', '3']",0.06,0.12,1.14
['3'],"['48', '11', '38', '39']",0.06,0.12,1.07
['39'],"['48', '11', '38', '3']",0.06,0.13,1.08
"['48', '38']","['11', '39', '3']",0.06,0.15,1.09
"['11', '38']","['48', '39', '3']",0.06,0.15,1.2
"['38', '3']","['48', '11', '39']",0.06,0.16,1.11
"['38', '39']","['48', '11', '3']",0.06,0.17,1.1
"['48', '11']","['38', '39', '3']",0.06,0.21,1.17
"['48', '3']","['11', '38', '39']",0.06,0.23,1.14
"['48', '39']","['11', '38', '3']",0.06,0.24,1.11
"['11', '3']","['48', '38', '39']",0.06,0.22,1.1
"['11', '39']","['48', '38', '3']",0.06,0.24,1.14
"['39', '3']","['48', '11', '38']",0.06,0.27,1.18
"['48', '11', '38']","['39', '3']",0.06,0.26,1.18
"['48', '38', '3']","['11', '39']",0.06,0.29,1.14
"['48', '38', '39']","['11', '3']",0.06,0.3,1.1
"['11', '38', '3']","['48', '39']",0.06,0.28,1.11
"['11', '38', '39']","['48', '3']",0.06,0.3,1.14
"['38', '39', '3']","['48', '11']",0.06,0.34,1.17
"['48', '11', '3']","['38', '39']",0.06,0.39,1.1
"['48', '11', '39']","['38', '3']",0.06,0.42,1.11
"['48', '39', '3']","['11', '38']",0.06,0.49,1.2
"['11', '39', '3']","['48', '38']",0.06,0.45,1.09
"['48', '11', '38', '3']",['39'],0.06,0.49,1.08
"['48', '11', '38', '39']",['3'],0.06,0.52,1.07
"['48', '38', '39', '3']",['11'],0.06,0.6,1.14
"['11', '38', '39', '3']",['48'],0.06,0.56,1.05
"['48', '11', '39', '3']",['38'],0.06,0.81,1.07
['28'],"['39', '3']",0.12,0.25,1.11
['3'],"['39', '28']",0.12,0.25,1.07
['39'],"['3', '28']",0.12,0.27,1.06
"['3', '28']",['39'],0.12,0.48,1.06
"['39', '28']",['3'],0.12,0.52,1.07
"['39', '3']",['28'],0.12,0.54,1.11
['38'],"['3', '39', '28']",0.1,0.13,1.07
['28'],"['38', '39', '3']",0.1,0.2,1.12
['3'],"['38', '39', '28']",0.1,0.2,1.09
['39'],"['38', '3', '28']",0.1,0.22,1.07
"['38', '28']","['39', '3']",0.1,0.26,1.16
"['38', '3']","['39', '28']",0.1,0.26,1.12
"['38', '39']","['3', '28']",0.1,0.28,1.1
"['3', '28']","['38', '39']",0.1,0.39,1.1
"['39', '28']","['38', '3']",0.1,0.42,1.12
"['39', '3']","['38', '28']",0.1,0.44,1.16
"['38', '3', '28']",['39'],0.1,0.49,1.07
"['38', '39', '28']",['3'],0.1,0.53,1.09
"['38', '39', '3']",['28'],0.1,0.55,1.12
"['3', '39', '28']",['38'],0.1,0.81,1.07
['36'],"['3', '39', '28']",0.08,0.13,1.1
['28'],"['36', '39', '3']",0.08,0.17,1.17
['3'],"['36', '39', '28']",0.08,0.17,1.09
['39'],"['36', '3', '28']",0.08,0.18,1.09
"['36', '28']","['39', '3']",0.08,0.26,1.17
"['36', '3']","['39', '28']",0.08,0.27,1.15
"['36', '39']","['3', '28']",0.08,0.28,1.13
"['3', '28']","['36', '39']",0.08,0.33,1.13
"['39', '28']","['36', '3']",0.08,0.36,1.15
"['39', '3']","['36', '28']",0.08,0.37,1.17
"['36', '3', '28']",['39'],0.08,0.49,1.09
"['36', '39', '28']",['3'],0.08,0.53,1.09
"['36', '39', '3']",['28'],0.08,0.57,1.17
"['3', '39', '28']",['36'],0.08,0.69,1.1
['38'],"['36', '3', '39', '28']",0.07,0.09,1.08
['36'],"['38', '3', '39', '28']",0.07,0.11,1.11
['28'],"['38', '36', '39', '3']",0.07,0.14,1.16
['3'],"['38', '36', '39', '28']",0.07,0.14,1.12
['39'],"['38', '36', '3', '28']",0.07,0.15,1.11
"['38', '36']","['3', '39', '28']",0.07,0.14,1.16
"['38', '28']","['36', '39', '3']",0.07,0.18,1.24
"['38', '3']","['36', '39', '28']",0.07,0.18,1.16
"['38', '39']","['36', '3', '28']",0.07,0.19,1.15
"['36', '28']","['38', '39', '3']",0.07,0.21,1.2
"['36', '3']","['38', '39', '28']",0.07,0.22,1.19
"['36', '39']","['38', '3', '28']",0.07,0.23,1.16
"['3', '28']","['38', '36', '39']",0.07,0.27,1.16
"['39', '28']","['38', '36', '3']",0.07,0.29,1.19
"['39', '3']","['38', '36', '28']",0.07,0.31,1.23
"['38', '36', '28']","['39', '3']",0.07,0.27,1.23
"['38', '36', '3']","['39', '28']",0.07,0.28,1.19
"['38', '36', '39']","['3', '28']",0.07,0.29,1.16
"['38', '3', '28']","['36', '39']",0.07,0.34,1.16
"['38', '39', '28']","['36', '3']",0.07,0.37,1.19
"['38', '39', '3']","['36', '28']",0.07,0.38,1.2
"['36', '3', '28']","['38', '39']",0.07,0.4,1.15
"['36', '39', '28']","['38', '3']",0.07,0.43,1.16
"['36', '39', '3']","['38', '28']",0.07,0.47,1.24
"['3', '39', '28']","['38', '36']",0.07,0.57,1.16
"['38', '36', '3', '28']",['39'],0.07,0.5,1.11
"['38', '36', '39', '28']",['3'],0.07,0.54,1.12
"['38', '36', '39', '3']",['28'],0.07,0.57,1.16
"['38', '3', '39', '28']",['36'],0.07,0.7,1.11
"['36', '3', '39', '28']",['38'],0.07,0.82,1.08
['11'],"['3', '39', '28']",0.07,0.14,1.13
['28'],"['11', '39', '3']",0.07,0.15,1.09
['3'],"['11', '39', '28']",0.07,0.15,1.12
['39'],"['11', '3', '28']",0.07,0.16,1.07
"['11', '28']","['39', '3']",0.07,0.27,1.22
"['11', '3']","['39', '28']",0.07,0.26,1.12
"['11', '39']","['3', '28']",0.07,0.28,1.13
"['3', '28']","['11', '39']",0.07,0.28,1.13
"['39', '28']","['11', '3']",0.07,0.31,1.12
"['39', '3']","['11', '28']",0.07,0.32,1.22
"['11', '3', '28']",['39'],0.07,0.49,1.07
"['11', '39', '28']",['3'],0.07,0.54,1.12
"['11', '39', '3']",['28'],0.07,0.53,1.09
"['3', '39', '28']",['11'],0.07,0.59,1.13
['38'],"['11', '3', '39', '28']",0.06,0.08,1.09
['11'],"['38', '3', '39', '28']",0.06,0.11,1.15
['28'],"['11', '38', '39', '3']",0.06,0.12,1.11
['3'],"['11', '38', '39', '28']",0.06,0.12,1.14
['39'],"['11', '38', '3', '28']",0.06,0.13,1.09
"['11', '38']","['3', '39', '28']",0.06,0.14,1.19
"['38', '28']","['11', '39', '3']",0.06,0.15,1.16
"['38', '3']","['11', '39', '28']",0.06,0.16,1.19
"['38', '39']","['11', '3', '28']",0.06,0.17,1.13
"['11', '28']","['38', '39', '3']",0.06,0.22,1.26
"['11', '3']","['38', '39', '28']",0.06,0.21,1.16
"['11', '39']","['38', '3', '28']",0.06,0.23,1.16
"['3', '28']","['11', '38', '39']",0.06,0.23,1.17
"['39', '28']","['11', '38', '3']",0.06,0.25,1.16
"['39', '3']","['11', '38', '28']",0.06,0.26,1.27
"['11', '38', '28']","['39', '3']",0.06,0.28,1.27
"['11', '38', '3']","['39', '28']",0.06,0.27,1.16
"['11', '38', '39']","['3', '28']",0.06,0.29,1.17
"['38', '3', '28']","['11', '39']",0.06,0.29,1.16
"['38', '39', '28']","['11', '3']",0.06,0.32,1.16
"['38', '39', '3']","['11', '28']",0.06,0.33,1.26
"['11', '3', '28']","['38', '39']",0.06,0.4,1.13
"['11', '39', '28']","['38', '3']",0.06,0.45,1.19
"['11', '39', '3']","['38', '28']",0.06,0.44,1.16
"['3', '39', '28']","['11', '38']",0.06,0.48,1.19
"['11', '38', '3', '28']",['39'],0.06,0.49,1.09
"['11', '38', '39', '28']",['3'],0.06,0.55,1.14
"['11', '38', '39', '3']",['28'],0.06,0.54,1.11
"['38', '3', '39', '28']",['11'],0.06,0.6,1.15
"['11', '3', '39', '28']",['38'],0.06,0.82,1.09
['36'],"['11', '3', '39', '28']",0.05,0.08,1.14
['11'],"['36', '3', '39', '28']",0.05,0.1,1.17
['28'],"['11', '36', '39', '3']",0.05,0.1,1.14
['3'],"['11', '36', '39', '28']",0.05,0.1,1.16
['39'],"['11', '36', '3', '28']",0.05,0.11,1.12
"['11', '36']","['3', '39', '28']",0.05,0.15,1.23
"['36', '28']","['11', '39', '3']",0.05,0.16,1.19
"['36', '3']","['11', '39', '28']",0.05,0.16,1.24
"['36', '39']","['11', '3', '28']",0.05,0.17,1.18
"['11', '28']","['36', '39', '3']",0.05,0.19,1.34
"['11', '3']","['36', '39', '28']",0.05,0.19,1.18
"['11', '39']","['36', '3', '28']",0.05,0.2,1.2
"['3', '28']","['11', '36', '39']",0.05,0.2,1.2
"['39', '28']","['11', '36', '3']",0.05,0.22,1.2
"['39', '3']","['11', '36', '28']",0.05,0.23,1.31
"['11', '36', '28']","['39', '3']",0.05,0.29,1.31
"['11', '36', '3']","['39', '28']",0.05,0.28,1.2
"['11', '36', '39']","['3', '28']",0.05,0.3,1.2
"['36', '3', '28']","['11', '39']",0.05,0.3,1.2
"['36', '39', '28']","['11', '3']",0.05,0.32,1.18
"['36', '39', '3']","['11', '28']",0.05,0.35,1.34
"['11', '3', '28']","['36', '39']",0.05,0.35,1.18
"['11', '39', '28']","['36', '3']",0.05,0.39,1.24
"['11', '39', '3']","['36', '28']",0.05,0.38,1.19
"['3', '39', '28']","['11', '36']",0.05,0.42,1.23
"['11', '36', '3', '28']",['39'],0.05,0.51,1.12
"['11', '36', '39', '28']",['3'],0.05,0.56,1.16
"['11', '36', '39', '3']",['28'],0.05,0.56,1.14
"['36', '3', '39', '28']",['11'],0.05,0.61,1.17
"['11', '3', '39', '28']",['36'],0.05,0.71,1.14
['8'],"['3', '39', '28']",0.06,0.13,1.07
['28'],"['8', '39', '3']",0.06,0.13,1.1
['3'],"['8', '39', '28']",0.06,0.13,1.06
['39'],"['8', '3', '28']",0.06,0.14,1.08
"['8', '28']","['39', '3']",0.06,0.26,1.16
"['8', '3']","['39', '28']",0.06,0.26,1.13
"['8', '39']","['3', '28']",0.06,0.27,1.06
"['3', '28']","['8', '39']",0.06,0.26,1.06
"['39', '28']","['8', '3']",0.06,0.28,1.13
"['39', '3']","['8', '28']",0.06,0.29,1.16
"['8', '3', '28']",['39'],0.06,0.49,1.08
"['8', '39', '28']",['3'],0.06,0.52,1.06
"['8', '39', '3']",['28'],0.06,0.54,1.1
"['3', '39', '28']",['8'],0.06,0.53,1.07
['38'],"['8', '3', '39', '28']",0.05,0.07,1.1
['8'],"['38', '3', '39', '28']",0.05,0.11,1.1
['28'],"['8', '38', '39', '3']",0.05,0.11,1.11
['3'],"['8', '38', '39', '28']",0.05,0.11,1.11
['39'],"['8', '38', '3', '28']",0.05,0.12,1.12
"['8', '38']","['3', '39', '28']",0.05,0.14,1.15
"['38', '28']","['8', '39', '3']",0.05,0.14,1.18
"['38', '3']","['8', '39', '28']",0.05,0.14,1.14
"['38', '39']","['8', '3', '28']",0.05,0.15,1.16
"['8', '28']","['38', '39', '3']",0.05,0.21,1.21
"['8', '3']","['38', '39', '28']",0.05,0.22,1.18
"['8', '39']","['38', '3', '28']",0.05,0.22,1.1
"['3', '28']","['8', '38', '39']",0.05,0.21,1.1
"['39', '28']","['8', '38', '3']",0.05,0.23,1.2
"['39', '3']","['8', '38', '28']",0.05,0.24,1.23
"['8', '38', '28']","['39', '3']",0.05,0.27,1.23
"['8', '38', '3']","['39', '28']",0.05,0.28,1.2
"['8', '38', '39']","['3', '28']",0.05,0.28,1.1
"['38', '3', '28']","['8', '39']",0.05,0.27,1.1
"['38', '39', '28']","['8', '3']",0.05,0.29,1.18
"['38', '39', '3']","['8', '28']",0.05,0.3,1.21
"['8', '3', '28']","['38', '39']",0.05,0.41,1.16
"['8', '39', '28']","['38', '3']",0.05,0.43,1.14
"['8', '39', '3']","['38', '28']",0.05,0.45,1.18
"['3', '39', '28']","['8', '38']",0.05,0.44,1.15
"['8', '38', '3', '28']",['39'],0.05,0.51,1.12
"['8', '38', '39', '28']",['3'],0.05,0.54,1.11
"['8', '38', '39', '3']",['28'],0.05,0.54,1.11
"['38', '3', '39', '28']",['8'],0.05,0.55,1.1
"['8', '3', '39', '28']",['38'],0.05,0.83,1.1
['48'],"['3', '39', '28']",0.07,0.13,1.06
['28'],"['48', '39', '3']",0.07,0.14,1.13
['3'],"['48', '39', '28']",0.07,0.14,1.08
['39'],"['48', '3', '28']",0.07,0.15,1.05
"['48', '28']","['39', '3']",0.07,0.25,1.13
"['48', '3']","['39', '28']",0.07,0.26,1.11
"['48', '39']","['3', '28']",0.07,0.27,1.09
"['3', '28']","['48', '39']",0.07,0.27,1.09
"['39', '28']","['48', '3']",0.07,0.29,1.11
"['39', '3']","['48', '28']",0.07,0.31,1.13
"['48', '3', '28']",['39'],0.07,0.48,1.05
"['48', '39', '28']",['3'],0.07,0.52,1.08
"['48', '39', '3']",['28'],0.07,0.55,1.13
"['3', '39', '28']",['48'],0.07,0.56,1.06
['38'],"['48', '3', '39', '28']",0.06,0.08,1.12
['48'],"['38', '3', '39', '28']",0.06,0.11,1.11
['28'],"['48', '38', '39', '3']",0.06,0.12,1.17
['3'],"['48', '38', '39', '28']",0.06,0.12,1.11
['39'],"['48', '38', '3', '28']",0.06,0.13,1.07
"['48', '38']","['3', '39', '28']",0.06,0.14,1.15
"['38', '28']","['48', '39', '3']",0.06,0.15,1.24
"['38', '3']","['48', '39', '28']",0.06,0.15,1.18
"['38', '39']","['48', '3', '28']",0.06,0.16,1.14
"['48', '28']","['38', '39', '3']",0.06,0.21,1.2
"['48', '3']","['38', '39', '28']",0.06,0.22,1.18
"['48', '39']","['38', '3', '28']",0.06,0.23,1.15
"['3', '28']","['48', '38', '39']",0.06,0.23,1.15
"['39', '28']","['48', '38', '3']",0.06,0.25,1.18
"['39', '3']","['48', '38', '28']",0.06,0.26,1.18
"['48', '38', '28']","['39', '3']",0.06,0.26,1.18
"['48', '38', '3']","['39', '28']",0.06,0.27,1.18
"['48', '38', '39']","['3', '28']",0.06,0.29,1.15
"['38', '3', '28']","['48', '39']",0.06,0.29,1.15
"['38', '39', '28']","['48', '3']",0.06,0.31,1.18
"['38', '39', '3']","['48', '28']",0.06,0.32,1.2
"['48', '3', '28']","['38', '39']",0.06,0.4,1.14
"['48', '39', '28']","['38', '3']",0.06,0.44,1.18
"['48', '39', '3']","['38', '28']",0.06,0.47,1.24
"['3', '39', '28']","['48', '38']",0.06,0.48,1.15
"['48', '38', '3', '28']",['39'],0.06,0.49,1.07
"['48', '38', '39', '28']",['3'],0.06,0.54,1.11
"['48', '38', '39', '3']",['28'],0.06,0.57,1.17
"['38', '3', '39', '28']",['48'],0.06,0.59,1.11
"['48', '3', '39', '28']",['38'],0.06,0.85,1.12
['8'],"['39', '3']",0.12,0.24,1.08
['3'],"['8', '39']",0.12,0.25,1.01
['39'],"['8', '3']",0.12,0.26,1.07
"['8', '3']",['39'],0.12,0.49,1.07
"['8', '39']",['3'],0.12,0.49,1.01
"['39', '3']",['8'],0.12,0.54,1.08
['38'],"['8', '39', '3']",0.1,0.13,1.09
['8'],"['38', '39', '3']",0.1,0.2,1.12
['3'],"['8', '38', '39']",0.1,0.2,1.05
['39'],"['8', '38', '3']",0.1,0.22,1.13
"['8', '38']","['39', '3']",0.1,0.26,1.16
"['38', '3']","['8', '39']",0.1,0.26,1.08
"['38', '39']","['8', '3']",0.1,0.28,1.14
"['8', '3']","['38', '39']",0.1,0.4,1.14
"['8', '39']","['38', '3']",0.1,0.41,1.08
"['39', '3']","['8', '38']",0.1,0.45,1.16
"['8', '38', '3']",['39'],0.1,0.51,1.13
"['8', '38', '39']",['3'],0.1,0.51,1.05
"['38', '39', '3']",['8'],0.1,0.56,1.12
"['8', '39', '3']",['38'],0.1,0.83,1.09
['11'],"['8', '39', '3']",0.07,0.14,1.19
['8'],"['11', '39', '3']",0.07,0.15,1.12
['3'],"['11', '8', '39']",0.07,0.15,1.07
['39'],"['11', '8', '3']",0.07,0.16,1.11
"['11', '8']","['39', '3']",0.07,0.27,1.2
"['11', '3']","['8', '39']",0.07,0.27,1.11
"['11', '39']","['8', '3']",0.07,0.29,1.2
"['8', '3']","['11', '39']",0.07,0.3,1.2
"['8', '39']","['11', '3']",0.07,0.3,1.11
"['39', '3']","['11', '8']",0.07,0.33,1.2
"['11', '8', '3']",['39'],0.07,0.5,1.11
"['11', '8', '39']",['3'],0.07,0.52,1.07
"['11', '39', '3']",['8'],0.07,0.56,1.12
"['8', '39', '3']",['11'],0.07,0.62,1.19
['38'],"['11', '8', '39', '3']",0.06,0.08,1.1
['11'],"['8', '38', '39', '3']",0.06,0.12,1.19
['8'],"['11', '38', '39', '3']",0.06,0.12,1.15
['3'],"['11', '8', '38', '39']",0.06,0.13,1.1
['39'],"['11', '8', '38', '3']",0.06,0.14,1.16
"['11', '38']","['8', '39', '3']",0.06,0.15,1.26
"['8', '38']","['11', '39', '3']",0.06,0.16,1.2
"['38', '3']","['11', '8', '39']",0.06,0.16,1.15
"['38', '39']","['11', '8', '3']",0.06,0.17,1.19
"['11', '8']","['38', '39', '3']",0.06,0.22,1.25
"['11', '3']","['8', '38', '39']",0.06,0.22,1.15
"['11', '39']","['8', '38', '3']",0.06,0.24,1.27
"['8', '3']","['11', '38', '39']",0.06,0.25,1.25
"['8', '39']","['11', '38', '3']",0.06,0.25,1.16
"['39', '3']","['11', '8', '38']",0.06,0.28,1.25
"['11', '8', '38']","['39', '3']",0.06,0.28,1.25
"['11', '38', '3']","['8', '39']",0.06,0.28,1.16
"['11', '38', '39']","['8', '3']",0.06,0.31,1.25
"['8', '38', '3']","['11', '39']",0.06,0.32,1.27
"['8', '38', '39']","['11', '3']",0.06,0.32,1.15
"['38', '39', '3']","['11', '8']",0.06,0.35,1.25
"['11', '8', '3']","['38', '39']",0.06,0.42,1.19
"['11', '8', '39']","['38', '3']",0.06,0.43,1.15
"['11', '39', '3']","['8', '38']",0.06,0.46,1.2
"['8', '39', '3']","['11', '38']",0.06,0.51,1.26
