antecedent,consequent,support,confidence,lift
"['47', '36']",['38'],0.26,0.82,1.06
['48'],['47'],0.27,0.48,1.03
['47'],['48'],0.27,0.59,1.03
['38'],"['47', '48']",0.23,0.29,1.06
['48'],"['47', '38']",0.23,0.4,1.06
['47'],"['48', '38']",0.23,0.49,1.06
"['48', '38']",['47'],0.23,0.49,1.06
"['47', '38']",['48'],0.23,0.6,1.06
"['47', '48']",['38'],0.23,0.83,1.06
['8'],['47'],0.25,0.48,1.03
['47'],['8'],0.25,0.54,1.03
['38'],"['8', '47']",0.21,0.26,1.05
['8'],"['47', '38']",0.21,0.39,1.05
['47'],"['8', '38']",0.21,0.44,1.06
"['8', '38']",['47'],0.21,0.49,1.06
"['47', '38']",['8'],0.21,0.55,1.05
"['8', '47']",['38'],0.21,0.82,1.05
['11'],['47'],0.27,0.49,1.05
['47'],['11'],0.27,0.59,1.05
['38'],"['11', '47']",0.22,0.29,1.06
['11'],"['47', '38']",0.22,0.4,1.08
['47'],"['11', '38']",0.22,0.48,1.09
"['11', '38']",['47'],0.22,0.5,1.09
"['47', '38']",['11'],0.22,0.6,1.08
"['11', '47']",['38'],0.22,0.83,1.06
['28'],['47'],0.26,0.48,1.04
['47'],['28'],0.26,0.56,1.04
['38'],"['28', '47']",0.21,0.27,1.05
['28'],"['47', '38']",0.21,0.4,1.06
['47'],"['28', '38']",0.21,0.46,1.08
"['28', '38']",['47'],0.21,0.5,1.08
"['47', '38']",['28'],0.21,0.57,1.06
"['28', '47']",['38'],0.21,0.82,1.05
['3'],['47'],0.25,0.48,1.04
['47'],['3'],0.25,0.54,1.04
['38'],"['3', '47']",0.2,0.26,1.05
['3'],"['47', '38']",0.2,0.4,1.06
['47'],"['3', '38']",0.2,0.44,1.08
"['3', '38']",['47'],0.2,0.5,1.08
"['47', '38']",['3'],0.2,0.55,1.06
"['3', '47']",['38'],0.2,0.82,1.05
['17'],['47'],0.24,0.49,1.06
['47'],['17'],0.24,0.51,1.06
['39'],['47'],0.23,0.47,1.02
['47'],['39'],0.23,0.49,1.02
['40'],['47'],0.24,0.48,1.03
['47'],['40'],0.24,0.51,1.03
